,initial run,soil run,Diff,ratio,cat
551,179.363,142.095,37.268,1.2622752383968472,1
552,1208.613,1208.613,0.0,1.0,3
553,343.422,343.422,0.0,1.0,2
554,923.373,923.373,0.0,1.0,2
555,1205.72,1205.72,0.0,1.0,3
556,131.565,140.873,-9.307999999999993,0.9339263024142314,1
557,182.198,146.007,36.191,1.247871677385331,1
558,959.49,959.49,0.0,1.0,2
559,1307.122,1307.122,0.0,1.0,3
560,229.616,229.616,0.0,1.0,2
561,108.32,89.759,18.560999999999993,1.20678706313573,1
562,999.119,999.119,0.0,1.0,2
563,218.05,186.212,31.838000000000022,1.1709771658110113,2
564,312.248,289.546,22.701999999999998,1.07840550378869,2
565,337.696,318.844,18.852000000000032,1.0591260930110022,2
